"Country","Site","Latitude","Longitude","Exposure","Reef slope","Reef type","Reef zone","Year","Depth","Management name","Management secondary name","Management year established","Management size","Governance","Estimated compliance","Management rules","Transect number","Transect length surveyed","Assigned transect width (m)","Observers","Fish family","Fish genus","Fish taxon","Size","Count","Biomass constant a","Biomass constant b","Biomass kg/ha","Trophic group","Trophic level","Functional group","Vulnerability"
"Tonga","Atata SMA 2",-21.054152,-175.245776,"semi-exposed","flat","fringing","fore reef",2024,2.5,"Atata SMA","Special Management Area",2008,840,NA,"full","access restriction",1,30,5,"Lucy Southworth","Acanthuridae","Zebrasoma","Zebrasoma scopas",12,5,0.034129,2.939876,16.93,"herbivore-detritivore",2,"cropper/grazer",66.27
"Tonga","Uiha FHR Far",-19.877276,-174.421743,"very sheltered","slope","fringing","fore reef",2018,3,"Uiha Far FHR","Fish Habitat Reserve",2018,37,NA,"full","no take",1,30,5,"Patrick Smallhorn-West","Mullidae","Parupeneus","Parupeneus barberinus",15,2,0.00627,3.195,4.78,"invertivore-mobile",3.44,"macro-invertivore",39.67
"Tonga","Fonoi SMA far",-20.290805,-174.639774,"exposed","slope","patch","fore reef",2018,6,"Fonoi SMA","Special Management Area",2017,2233,NA,"full","access restriction",4,30,2,"Patrick Smallhorn-West","Pomacentridae","Pomacentrus","Pomacentrus vaiuli",4,3,0.0263,2.91,0.74,"planktivore",3.13,"planktivore",23.43
"Tonga","Ofu Bommie 2",-18.70571667,-173.9492333,"very sheltered","slope","patch","fore reef",2017,5,"Ofu SMA","Special Management Area",2017,493,NA,"full","access restriction",1,30,5,"Patrick Smallhorn-West","Balistidae","Sufflamen","Sufflamen chrysopterum",14,1,0.02972,2.957254,4.86,"invertivore-mobile",3.45,"micro-invertivore",31.02
"Tonga","Middle reefs close",-21.125744,-175.191784,"semi-exposed","slope","patch","fore reef",2024,3,"Open Access","Open",NA,0,NA,NA,"open access",3,30,5,"Lucy Southworth","Pomacanthidae","Centropyge","Centropyge bicolor",9,1,0.0302,2.89,1.15,"herbivore-detritivore",2.97,"cropper/grazer",23.01
"Tonga","Boatyard",-18.64413333,-173.9955167,"very sheltered","flat","fringing","fore reef",2024,2,"Open Access","Open",NA,0,NA,NA,"open access",1,30,5,"Lucy Southworth","Acanthuridae","Acanthurus","Acanthurus nigricauda",14,1,0.015087,3.021904,2.92,"herbivore-detritivore",2.99,"cropper/grazer",24.96
"Tonga","FonoiIka 3",-20.120509,-174.684489,"exposed","slope","patch","fore reef",2018,6,"Open Access","Open",NA,0,NA,NA,"open access",1,30,5,"Patrick Smallhorn-West","Acanthuridae","Naso","Naso lituratus",22,1,0.0245,2.97,15.85,"herbivore-macroalgae",2.32,"browser",34.1
"Tonga","Euiki Point",-18.76875,-174.0222333,"semi-exposed","slope","fringing","fore reef",2017,6,"Euiki Vava'u FHR","Fish Habitat Reserve",2017,119,NA,"full","no take",3,30,5,"Patrick Smallhorn-West","Caesionidae","Pterocaesio","Pterocaesio digramma",15,3,0.00499,3.31216,7.84,"planktivore",3.39,"planktivore",31.04
"Tonga","Tokatoka Far bommie",-21.044035,-175.292405,"exposed","slope","patch","fore reef",2024,6,"Open Access","Open",NA,0,NA,NA,"open access",4,30,5,"Lucy Southworth","Chaetodontidae","Chaetodon","Chaetodon lunula",14,1,0.02291,3,4.19,"invertivore-sessile",3.7,"micro-invertivore",10
"Tonga","Haafeva FHR 4",-19.942465,-174.702612,"very sheltered","flat","fringing","back reef",2018,1.5,"Haafeva FHR","Fish Habitat Reserve (FHR)",2007,139,NA,"full","no take",3,30,5,"Patrick Smallhorn-West","Nemipteridae","Scolopsis","Scolopsis lineata",16,1,0.0162,2.99,4.3,"invertivore-mobile",3.76,"micro-invertivore",15
"Tonga","Muitoa FHR",-19.649342,-174.299849,"semi-exposed","wall","fringing","fore reef",2024,5,"Muitoa FHR","Fish Habitat Reserve",2018,72,NA,"full","no take",1,30,5,"Lucy Southworth","Labridae","Bodianus","Bodianus axillaris",14,1,0.012,3.05,2.5,"invertivore-mobile",3.42,"micro-invertivore",14.4
"Tonga","Luaofa Island",-18.71826667,-174.0551667,"semi-exposed","flat","patch","fore reef",2024,4.5,"Matamaka SMA","Special Management Area",2017,190,NA,"full","access restriction",4,30,5,"Lucy Southworth","Acanthuridae","Ctenochaetus","Ctenochaetus striatus",22,14,0.01569,3.058599,186.89,"omnivore",2,"detritivore",18.05
"Tonga","Haatafu FHR Resort",-21.064712,-175.334528,"exposed","wall","fringing","crest",2024,3.5,"Haatafu Resort FHR","Fish Habitat Reserve",2017,24,NA,"full","no take",4,30,5,"Lucy Southworth","Aulostomidae","Aulostomus","Aulostomus chinensis",50,1,0.000728,3.69717,92.77,"piscivore",4.24,"piscivore",33.78
"Tonga","Oua FHR 6",-20.05785,-174.680697,"exposed","slope","fringing","fore reef",2018,6,"Oua FHR","Fish Habitat Reserve",2006,216,NA,"full","no take",2,30,5,"Patrick Smallhorn-West","Scaridae","Scarus","Scarus frenatus",42,1,0.01738,3.07,111.52,"herbivore-detritivore",2,"scraper",23.6
"Tonga","Nomuka Town 1",-20.263818,-174.799851,"semi-exposed","slope","fringing","fore reef",2018,6,"Nomuka SMA","Special Management Area",2011,6820,NA,"full","access restriction",3,30,5,"Patrick Smallhorn-West","Labridae","Labrichthys","Labrichthys unilineatus",10,1,0.01503,3,1,"invertivore-sessile",3.34,"corallivore",26.31
"Tonga","Fafa control close",-21.081875,-175.153912,"very sheltered","slope","fringing","fore reef",2024,3.5,"Open Access","Open",NA,0,NA,NA,"open access",3,30,5,"Lucy Southworth","Scaridae","Scarus","Scarus",5,50,0.014708,3.050734,6.65,"herbivore-detritivore",2.02,"scraper",33.34
"Tonga","FonoiIka 2",-20.109433,-174.705614,"exposed","slope","patch","fore reef",2018,6,"Open Access","Open",NA,0,NA,NA,"open access",3,30,2,"Patrick Smallhorn-West","Pomacentridae","Chrysiptera","Chrysiptera taupou",3,9,0.025773,2.867844,0.9,"planktivore",2.65,"planktivore",16.2
"Tonga","Haafeva SMA 3",-19.945731,-174.688436,"semi-exposed","slope","fringing","fore reef",2018,6,"Haafeva SMA","Special Management Area",2007,1430,NA,"full","access restriction",4,30,2,"Patrick Smallhorn-West","Pomacentridae","Pomacentrus","Pomacentrus callainus",5,3,0.02344,2.99,1.44,"herbivore-detritivore",2.7,"cropper/grazer",21
"Tonga","Ovaka FHR 3",-18.75438333,-174.0986167,"exposed","slope","fringing","fore reef",2024,5,"Ovaka FHR","Fish Habitat Reserve (FHR)",2008,260,NA,"full","no take",3,30,5,"Lucy Southworth","Labridae","Hemigymnus","Hemigymnus fasciatus",16,3,0.00977,3.07,9.72,"invertivore-mobile",3.5,"macro-invertivore",20
"Tonga","Oua FHR 5",-20.05873,-174.680662,"exposed","flat","fringing","fore reef",2018,6,"Oua FHR","Fish Habitat Reserve",2006,216,NA,"full","no take",1,30,5,"Patrick Smallhorn-West","Scaridae","Hipposcarus","Hipposcarus longiceps",37,1,0.0161,3.05,65.13,"omnivore",2.73,"cropper/grazer",29.09
"Tonga","Nomuka FHR 1",-20.269599,-174.7897,"semi-exposed","slope","fringing","fore reef",2018,4,"Nomuka FHR","Fish Habitat Reserve",2011,53,NA,"full","no take",3,30,2,"Patrick Smallhorn-West","Pomacentridae","Dascyllus","Dascyllus reticulatus",2,1,0.035245,2.943364,0.05,"omnivore",3.13,"cropper/grazer",24.77
"Tonga","Fangale'ounga",-19.749174,-174.328014,"semi-exposed","slope","fringing","fore reef",2018,6,"Open Access","Open",NA,0,NA,NA,"open access",2,30,5,"Patrick Smallhorn-West","Scaridae",NA,"Scaridae",24,10,0.015229,3.053183,166.19,"herbivore-detritivore",2.07,"scraper",32.32
