Island.group,Lat,Long,Management,Site,Transect,FP.old,FP.null
Haapai,-19.773982,-174.374937,Open,Airport outer 1,1,15.2173996,15.10789967
Haapai,-19.773982,-174.374937,Open,Airport outer 1,2,15.2173996,15.10789967
Haapai,-19.773982,-174.374937,Open,Airport outer 1,3,15.2173996,15.10789967
Haapai,-19.773982,-174.374937,Open,Airport outer 1,4,15.2173996,15.10789967
Haapai,-19.768289,-174.367161,Open,Airport outer 2,1,15.2173996,15.10789967
Haapai,-19.768289,-174.367161,Open,Airport outer 2,2,15.2173996,15.10789967
Haapai,-19.768289,-174.367161,Open,Airport outer 2,3,15.2173996,15.10789967
Haapai,-19.768289,-174.367161,Open,Airport outer 2,4,15.2173996,15.10789967
Haapai,-19.757661,-174.338579,Open,Causeway north point,1,15.94200039,15.82730007
Haapai,-19.757661,-174.338579,Open,Causeway north point,2,15.94200039,15.82730007
Haapai,-19.757661,-174.338579,Open,Causeway north point,3,15.94200039,15.82730007
Haapai,-19.757661,-174.338579,Open,Causeway north point,4,15.94200039,15.82730007
Haapai,-19.691707,-174.28115,FHR 2018,Fakakakai FHR,1,12.31879997,12.23019981
Haapai,-19.691707,-174.28115,FHR 2018,Fakakakai FHR,2,12.31879997,12.23019981
Haapai,-19.691707,-174.28115,FHR 2018,Fakakakai FHR,3,12.31879997,12.23019981
Haapai,-19.691707,-174.28115,FHR 2018,Fakakakai FHR,4,12.31879997,12.23019981
Haapai,-19.685722,-174.284949,SMA 2018,Fakakakai SMA,1,12.31879997,12.23019981
Haapai,-19.685722,-174.284949,SMA 2018,Fakakakai SMA,2,12.31879997,12.23019981
Haapai,-19.685722,-174.284949,SMA 2018,Fakakakai SMA,3,12.31879997,12.23019981
Haapai,-19.685722,-174.284949,SMA 2018,Fakakakai SMA,4,12.31879997,12.23019981
Haapai,-19.748558,-174.371518,Open,Fakau osi,1,14.49279976,14.38850021
Haapai,-19.748558,-174.371518,Open,Fakau osi,2,14.49279976,14.38850021
Haapai,-19.748558,-174.371518,Open,Fakau osi,3,14.49279976,14.38850021
Haapai,-19.748558,-174.371518,Open,Fakau osi,4,14.49279976,14.38850021
Haapai,-19.749174,-174.328014,Open,Fangale'ounga,1,16.66670036,16.54680061
Haapai,-19.749174,-174.328014,Open,Fangale'ounga,2,16.66670036,16.54680061
Haapai,-19.749174,-174.328014,Open,Fangale'ounga,3,16.66670036,16.54680061
Haapai,-19.749174,-174.328014,Open,Fangale'ounga,4,16.66670036,16.54680061
Haapai,-19.911852,-174.418412,FHR Existing,Felemea FHR 1,1,0,20.14389992
Haapai,-19.911852,-174.418412,FHR Existing,Felemea FHR 1,2,0,20.14389992
Haapai,-19.911852,-174.418412,FHR Existing,Felemea FHR 1,3,0,20.14389992
Haapai,-19.911852,-174.418412,FHR Existing,Felemea FHR 1,4,0,20.14389992
Haapai,-19.913275,-174.419682,FHR Existing,Felemea FHR 2,1,0,17.98559952
Haapai,-19.913275,-174.419682,FHR Existing,Felemea FHR 2,2,0,17.98559952
Haapai,-19.913275,-174.419682,FHR Existing,Felemea FHR 2,3,0,17.98559952
Haapai,-19.913275,-174.419682,FHR Existing,Felemea FHR 2,4,0,17.98559952
Haapai,-19.910153,-174.418302,FHR Existing,Felemea FHR 3 Bommie,1,0,20.86330032
Haapai,-19.910153,-174.418302,FHR Existing,Felemea FHR 3 Bommie,2,0,20.86330032
Haapai,-19.910153,-174.418302,FHR Existing,Felemea FHR 3 Bommie,3,0,20.86330032
Haapai,-19.910153,-174.418302,FHR Existing,Felemea FHR 3 Bommie,4,0,20.86330032
Haapai,-19.904041,-174.411561,SMA Existing,Felemea SMA 1,1,10.14490032,28.77700043
Haapai,-19.904041,-174.411561,SMA Existing,Felemea SMA 1,2,10.14490032,28.77700043
Haapai,-19.904041,-174.411561,SMA Existing,Felemea SMA 1,3,10.14490032,28.77700043
Haapai,-19.904041,-174.411561,SMA Existing,Felemea SMA 1,4,10.14490032,28.77700043
Haapai,-19.910308,-174.415109,SMA Existing,Felemea SMA 2,1,0,21.58270073
Haapai,-19.910308,-174.415109,SMA Existing,Felemea SMA 2,2,0,21.58270073
Haapai,-19.910308,-174.415109,SMA Existing,Felemea SMA 2,3,0,21.58270073
Haapai,-19.910308,-174.415109,SMA Existing,Felemea SMA 2,4,0,21.58270073
Haapai,-19.90549,-174.433452,SMA Existing,Felemea SMA 3 Bommie,1,10.14490032,14.38850021
Haapai,-19.90549,-174.433452,SMA Existing,Felemea SMA 3 Bommie,2,10.14490032,14.38850021
Haapai,-19.90549,-174.433452,SMA Existing,Felemea SMA 3 Bommie,3,10.14490032,14.38850021
Haapai,-19.90549,-174.433452,SMA Existing,Felemea SMA 3 Bommie,4,10.14490032,14.38850021
Haapai,-19.96147,-174.725146,Open,Fetoa Isld,1,18.11590004,17.98559952
Haapai,-19.96147,-174.725146,Open,Fetoa Isld,2,18.11590004,17.98559952
Haapai,-19.96147,-174.725146,Open,Fetoa Isld,3,18.11590004,17.98559952
Haapai,-19.96147,-174.725146,Open,Fetoa Isld,4,18.11590004,17.98559952
Haapai,-20.282926,-174.634733,FHR 2017,Fonoi FHR close,1,2.898550034,2.87770009
Haapai,-20.282926,-174.634733,FHR 2017,Fonoi FHR close,2,2.898550034,2.87770009
Haapai,-20.282926,-174.634733,FHR 2017,Fonoi FHR close,3,2.898550034,2.87770009
Haapai,-20.282926,-174.634733,FHR 2017,Fonoi FHR close,4,2.898550034,2.87770009
